"Time","processor.rule.act.timing.mean"
1638558000000,2155.044016999974
1638558300000,3224.2063077039174
1638558600000,3771.0518844805847
1638558900000,3643.184882739692
1638559200000,3016.294077527299
1638559500000,2799.2865889015848
1638559800000,2999.422790580117
1638560100000,2816.9753689206927
1638560400000,1649.1431614674962
1638560700000,2157.074117587495
1638561000000,2593.507872327415
1638561300000,2458.6755838908566
1638561600000,3546.0330822760566
1638561900000,3033.4837128407357
1638562200000,1514.549765927886
1638562500000,3286.3897771602933
1638562800000,2512.280640623875
1638563100000,2240.664435026959
1638563400000,3055.3348797760746
1638563700000,1788.9560433726024
1638564000000,1754.2897950138633
1638564300000,3603.854886041498
1638564600000,3168.2505624587184
1638564900000,2962.8780940189795
1638565200000,2742.546587264813
1638565500000,4104.54964147807
1638565800000,4297.72030071418
1638566100000,2306.7714492315486
1638566400000,3753.4485421708196
1638566700000,3765.557951791925
1638567000000,3122.278323459133
1638567300000,4004.8665356724146
1638567600000,3054.749933879528
1638567900000,2872.0955235003203
1638568200000,5957.378732701666
1638568500000,2683.706431234181
1638568800000,3096.743876275026
1638569100000,3995.9253623841496
1638569400000,4625.344478832429
1638569700000,3139.8232819562204
1638570000000,2245.9623422706914
1638570300000,4021.9620303762995
1638570600000,2015.2124566981056
1638570900000,2509.0045761353913
1638571200000,2520.234780735004
1638571500000,2607.67459863564
1638571800000,3075.1557604928166
1638572100000,2700.299295471658
1638572400000,4269.127592845629
1638572700000,3977.6251065800657
1638573000000,5148.101773934416
1638573300000,2732.6263010541475
1638573600000,2407.4947979552235
1638573900000,5152.683480124882
1638574200000,2589.566581739122
1638574500000,1856.2250025922065
1638574800000,5216.429235120672
1638575100000,3372.375958979622
1638575400000,2699.5000514381295
1638575700000,5721.317216698784
1638576000000,4494.4973556707755
1638576300000,1848.947277392567
1638576600000,3390.292027588051
1638576900000,4608.230597567066
1638577200000,1892.698568177002
1638577500000,2883.2853888779937
1638577800000,2772.7154582523026
1638578100000,1881.5635537588344
1638578400000,1918.9821984318337
1638578700000,3206.0179388255465
1638579000000,2614.2605979325403
1638579300000,2418.8524850448757
1638579600000,2830.530427557145
1638579900000,4580.657509185585
1638580200000,2084.5066384053
1638580500000,8093.015811748046
1638580800000,2576.0006809851943
1638581100000,3664.8272665604113
1638581400000,4804.698805883096
1638581700000,2395.8209587192205
1638582000000,3592.6841576289953
1638582300000,5519.826879270616
1638582600000,2101.959873883364
1638582900000,4236.141140050216
1638583200000,5435.748988833963
1638583500000,3961.6864059964914
1638583800000,2759.507736450711
1638584100000,2567.7256793474953
1638584400000,2385.224009675585
1638584700000,7943.7960901717215
1638585000000,1654.0307840207706
1638585300000,1677.0609491363255
1638585600000,4130.921834133408
1638585900000,4503.577083418955
1638586200000,3652.284931925533
1638586500000,4669.542069624227
1638586800000,1625.7023172685876
1638587100000,4345.1873420914735
1638587400000,2800.618608141598
1638587700000,1233.7955039064925
1638588000000,2607.268937123081
1638588300000,3880.5059580804987
1638588600000,2693.8910366491955
1638588900000,2017.1710106384126
1638589200000,1937.7301253423666
1638589500000,5448.87666851846
1638589800000,5509.210170667858
1638590100000,6706.742293495508
1638590400000,3262.207824977304
1638590700000,5252.703718910763
1638591000000,2430.375401750401
1638591300000,2578.0799552308013
1638591600000,3199.847151766624
1638591900000,4272.401529165169
1638592200000,3071.9075867287584
1638592500000,2779.0656144917943
1638592800000,3084.4276546601513
1638593100000,3078.6663851680105
1638593400000,3628.2586789566267
1638593700000,2123.6815317830456
1638594000000,2174.731999212731
1638594300000,1952.1207037720833
1638594600000,3390.1140964256533
1638594900000,3729.4500944732654
1638595200000,3516.7356871611364
1638595500000,1387.4863778458218
1638595800000,2680.9578826815036
1638596100000,1335.8273935085163
1638596400000,2994.227233893568
1638596700000,2315.0990214204026
1638597000000,3854.064650615545
1638597300000,2023.2975273657453
1638597600000,2755.5518731422735
1638597900000,3070.7604592474427
1638598200000,3246.2394771430027
1638598500000,3053.4169648857123
1638598800000,1925.0468218889976
1638599100000,2895.7357886931795
1638599400000,2763.165456334213
1638599700000,1571.7545549577474
1638600000000,2523.308607830752
1638600300000,4091.1896055856705
1638600600000,1637.2171721552604
1638600900000,1830.8997119747469
1638601200000,3177.9381006525605
1638601500000,3270.002685536071
1638601800000,1929.8472403746032
1638602100000,2098.935688583983
1638602400000,3012.4140255297207
1638602700000,3689.827414264636
1638603000000,4978.52727605319
1638603300000,2155.671381203224
1638603600000,3171.8999351748025
1638603900000,5574.320852306531
1638604200000,3251.090523253379
1638604500000,1302.4824785978647
1638604800000,3003.049807431378
1638605100000,3103.3127428254893
1638605400000,3384.9786996898365
1638605700000,3216.2449040500696
1638606000000,3470.951052733168
1638606300000,3049.0695429016278
1638606600000,2380.8802461232654
1638606900000,3035.974853099194
1638607200000,3512.576170677736
1638607500000,4235.908317523325
1638607800000,2157.1739085919608
1638608100000,2246.6703336645683
1638608400000,3317.256884898719
1638608700000,1253.6238710410405
